Accession ID,Species,Original producing area,Latitude,Longitude,Sequencing Coverage,Ecotype
HP439,O. sativa,China,31.62,117.87,1.02,temperate japonica
HP440,O. sativa,China,26.46,116,1.54,indica
HP441,O. sativa,China,27.67,113.5,0.58,indica
HP442,O. sativa,China,29.71,113.56,1.7,indica
HP443,O. sativa,China,27.13,111.04,0.73,indica
HP444,O. sativa,China,27.44,112.18,1.1,indica
HP445,O. sativa,China,25.44,105.18,0.61,indica
HP446,O. sativa,China,27.08,107.48,0.67,indica
HP447,O. sativa,China,26.72,107.53,1.03,indica
HP448,O. sativa,China,28.4,115.55,0.79,indica
HP449,O. sativa,China,32.72,113.31,0.97,indica
HP450,O. sativa,China,27.76,118.02,1.65,indica
HP451,O. sativa,China,21.68,110.88,0.57,indica
HP452,O. sativa,China,30.99,104.25,0.95,indica
HP453,O. sativa,China,27.73,109.21,1.67,indica
HP454,O. sativa,China,18.64,109.7,1.37,temperate japonica
HP455,O. sativa,China,18.64,109.7,0.9,indica
HP456,O. sativa,China,23.08,113.14,1.28,indica
HP457,O. sativa,China,24.59,112.07,1.53,indica
HP458,O. sativa,China,23.08,113.14,0.99,indica
HP459,O. sativa,China,31.62,114.83,1.09,indica
HP460,O. sativa,China,31.62,114.83,0.82,indica
HP461,O. sativa,China,31.81,115.42,1.12,indica
HP462,O. sativa,China,31.81,115.42,1.06,temperate japonica
HP463,O. sativa,China,31.39,120.95,1.13,indica
HP464,O. sativa,China,31.95,118.83,1.1,indica
HP465,O. sativa,China,32.43,119.55,0.56,indica
HP466,O. sativa,China,29.88,118.44,0.85,temperate japonica
HP467,O. sativa,China,31.52,117.17,0.97,indica
HP468,O. sativa,China,30.84,116.36,0.83,temperate japonica
HP469,O. sativa,China,30.62,116.53,0.81,indica
HP470,O. sativa,China,31.52,117.17,1.05,indica
HP471,O. sativa,China,30.35,114.17,0.89,indica
HP472,O. sativa,China,30.35,114.17,0.92,indica
HP473,O. sativa,China,30.35,114.17,1.21,indica
HP474,O. sativa,China,30.35,114.17,1.51,indica
HP475,O. sativa,China,30.24,115.3,1.11,indica
HP476,O. sativa,China,24.55,116.1,1.08,indica
HP477,O. sativa,China,29.87,114.28,1.2,indica
HP478,O. sativa,China,29.54,114.04,1.63,indica
HP479,O. sativa,China,30.7,111.3,1.24,indica
HP480,O. sativa,China,30.35,114.17,0.6,indica
HP481,O. sativa,China,27.67,113.5,0.61,indica
HP482,O. sativa,China,29.71,113.56,0.6,indica
HP483,O. sativa,China,28.3,109.71,2.37,indica
HP484,O. sativa,China,29,109.84,0.56,indica
HP485,O. sativa,China,27.92,109.43,0.75,indica
